Qty;Value;Device;Parts;Description;OC_FARNELL;OC_NEWARK;PROD_ID;VALUE
10;10u;CAP0603-CAP;C101, C102, C104, C105, C108, C111, C112, C205, C206, C210;Capacitor;;;;
13;0.1u;CAP0603-CAP;C103, C106, C107, C109, C201, C203, C207, C208, C211, C212, C302, C303, C307;Capacitor;;;;
9;1u;CAP0603-CAP;C110, C113, C114, C115, C202, C204, C209, C305, C306;Capacitor;;;;
2;22u;CAP0603-CAP;C301, C304;Capacitor;;;;
1;1N5819;DIODE-SOD123;D201;DIODE;;;;
1;CRG;LED-YELLOW0603;D202;Yellow SMD LED;;;DIO-09003;Yellow
2;IN5819;DIODE-SOD123;D301, D302;DIODE;;;;
1;BATTERY-LI-MH12210;BATTERY-LI-MH12210;G201;Lithium-Ion MH12210 Rechargeable Battery;;;;
1;ESP32C3;ESP32C3-MODULE32S;IC101;;;;;
1;ESP32;ESP32-MODULEDUAL;IC102;;;;;
1;ESP32C3-MODULE13U;ESP32C3-MODULE13U;IC103;;;;;
1;ESP32S2;ESP32S2-MODULEAI;IC104;;;;;
5;AP2112;V_REG_LDOSMD;IC201, IC301, U101, U102, U103;Voltage Regulator LDO;;;VREG-12457;
1;SI7021;SI7021;IC202;Silicon Labs Si7021 I2C Humidity and Temperature Sensor;;;IC-13093;
1;MCP73831;MCP73831;IC203;Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller;;;IC-09995;
1;BME280;BME280;IC204;"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";;;IC-13090;BME280
1;BH1750;BH1750;IC205;;;;IC-13876;ZOPT2201
1;CP2102;CP2102-GMR(QFN28);IC302;310070003;;;;CP2102-GMR-QFN28
3;;USB_MICRO-BFEMALE_SMT_;J101, J106, J107;USB Type Micro-B Connector;;;;
4;COM;HEADER-2X3SMT;J102, J103, J104, J105;PIN HEADER;;;;
2;;HEADER-2X8;J108, J111;PIN HEADER;;;;
2;;HEADER-2X13;J109, J110;PIN HEADER;;;;
2;;USB_C16PIN;J201, J302;USB Type C 16Pin Connector;;;CONN-14122;
1;FR;CONN_03;J202;Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections;;;XXX-00000;455-1750-1-ND
1;;HEADER-2X5;J203;PIN HEADER;;;;
1;DHT22;C-GRID-04-70543;J204;CONNECTOR;unknown;unknown;;
2;+5V;C-GRID-02-70543;J205, J303;CONNECTOR;unknown;unknown;;
1;AM2320;C-GRID-04-70543;J206;CONNECTOR;unknown;unknown;;
1;LiPo;CONN_02-JST-2MM-SMT;J207;Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections;;;CONN-11443;
1;PROG;JST-SH-1MM-8;J301;;;;;
1;COM1;HEADER-2X3SMT_1.27;J304;PIN HEADER;;;;
1;COM2;HEADER-2X3SMT;J305;PIN HEADER;;;;
1;2301;MOSFET-PCHANNELDMG2307L;Q201;Generic PMOSFET;;;TRANS-11308;2.5A/30V
1;;SMD-MOSFET-DUAL-N-CH-30V-2.9A-SI5902DC-T1-E3(1206-8)SOT363;Q301;305040005;;;;
6;100k;R-EU_R0603;R101, R103, R104, R206, R207, R301;RESISTOR, European symbol;;;;
10;10k;R-EU_R0603;R102, R105, R106, R107, R204, R210, R212, R303, R304, R305;RESISTOR, European symbol;;;;
2;47k;R-EU_R0603;R201, R202;RESISTOR, European symbol;;;;
2;5.1k;R-EU_R0603;R203, R302;RESISTOR, European symbol;;;;
1;27k;R-EU_R0603;R205;RESISTOR, European symbol;;;;
3;1k;R-EU_R0603;R208, R209, R215;RESISTOR, European symbol;;;;
3;2k;R-EU_R0603;R211, R307, R308;RESISTOR, European symbol;;;;
2;3k3;R-EU_R0603;R213, R214;RESISTOR, European symbol;;;;
1;4.7k;R-EU_R0603;R306;RESISTOR, European symbol;;;;
5;RST;MICROSWITCH-BUTTON;SW101, SW103, SW104, SW105, SW301;;;;;
5;PRG;MICROSWITCH-BUTTON;SW102, SW106, SW107, SW108, SW302;;;;;
1;MICROSWITCH-BUTTONANGLE;MICROSWITCH-BUTTONANGLE;SW201;;;;;
1;BAT ON;SMD-TOGGLE-SWITCH-ON-ON(3+4P-6.7X2.7MM)ORIG;SW202;311030001;;;;
